start_t,end_t,duration,peak_t,peak_freq,peak_db
22.656399999999998,22.7136,0.057200000000001694,22.656399999999998,5000.0,29.078376882668863
22.7864,22.828,0.04159999999999897,22.7864,5000.0,29.078376882668863
22.8748,22.8904,0.01559999999999917,22.8748,5000.0,35.0949476840737
22.958,22.973599999999998,0.01559999999999917,22.958,5000.0,35.0949476840737
23.1192,23.1608,0.04159999999999897,23.1608,5000.0,35.0949476840737
23.186799999999998,23.238799999999998,0.0519999999999996,23.186799999999998,5000.0,35.0949476840737
23.2908,23.3064,0.01559999999999917,23.2908,5000.0,29.078376882668863
23.3844,23.4104,0.0259999999999998,23.3844,5000.0,29.078376882668863
23.4364,23.4572,0.020800000000001262,23.4364,5000.0,29.078376882668863
23.4832,23.5196,0.03640000000000043,23.4884,5000.0,35.0949476840737
23.5456,23.582,0.03640000000000043,23.5456,5000.0,29.078376882668863
23.8264,23.842,0.01559999999999917,23.8264,5000.0,29.078376882668863
23.919999999999998,23.971999999999998,0.0519999999999996,23.919999999999998,5000.0,29.078376882668863
24.008399999999998,24.0292,0.020800000000001262,24.008399999999998,5000.0,29.078376882668863
24.1072,24.1332,0.0259999999999998,24.1176,5000.0,29.078376882668863
24.263199999999998,24.2892,0.026000000000003354,24.263199999999998,5000.0,29.078376882668863
24.351599999999998,24.3724,0.020800000000001262,24.351599999999998,5000.0,29.078376882668863
24.3932,24.4088,0.01559999999999917,24.4088,5000.0,29.078376882668863
24.4348,24.590799999999998,0.1559999999999988,24.4972,5000.0,35.0949476840737
24.622,24.6532,0.03119999999999834,24.6532,5000.0,32.597217895447216
24.6844,24.726,0.04159999999999897,24.6844,5000.0,29.078376882668863
24.7468,24.7832,0.03640000000000043,24.7468,5000.0,29.078376882668863
24.83,24.855999999999998,0.0259999999999998,24.8404,5000.0,32.597217895447216
24.996399999999998,25.012,0.015600000000002723,24.996399999999998,5000.0,23.07385614102691
25.032799999999998,25.0536,0.020800000000001262,25.032799999999998,5000.0,29.078376882668863
25.1524,25.1836,0.03119999999999834,25.168,5000.0,31.014643635621383
25.2304,25.261599999999998,0.03119999999999834,25.2304,5000.0,17.11698413545895
25.2824,25.3188,0.03640000000000043,25.2928,5000.0,26.583776544307455
25.3396,25.375999999999998,0.03639999999999688,25.3448,5000.0,6.016570801404839
25.428,25.454,0.0259999999999998,25.4332,5000.0,23.07385614102691
25.5684,25.5996,0.03119999999999834,25.578799999999998,5000.0,23.07385614102691
25.703599999999998,25.729599999999998,0.0259999999999998,25.703599999999998,5000.0,26.583776544307455
25.817999999999998,25.8544,0.03640000000000043,25.8232,5000.0,26.583776544307455
25.880399999999998,25.922,0.041600000000002524,25.880399999999998,5000.0,30.10030022011921
25.9428,25.968799999999998,0.0259999999999998,25.9584,5000.0,26.583776544307455
25.9896,26.0104,0.020800000000001262,26.0104,5000.0,23.07385614102691
26.0624,26.083199999999998,0.02079999999999771,26.0676,5000.0,20.591693463858633
26.109199999999998,26.1872,0.07800000000000296,26.145599999999998,5000.0,25.004345827897282
26.208,26.233999999999998,0.0259999999999998,26.223599999999998,5000.0,17.11698413545895
26.2652,26.3016,0.03640000000000043,26.2704,5000.0,30.10030022011921
26.3224,26.364,0.041600000000002524,26.3432,5000.0,26.583776544307455
26.3848,26.400399999999998,0.01559999999999917,26.3848,5000.0,21.28132577158493
26.4524,26.5148,0.06240000000000023,26.5148,5000.0,28.51854216719903
26.5356,26.624,0.08840000000000003,26.5356,5000.0,24.56029988191017
26.6708,26.7072,0.03640000000000043,26.6708,5000.0,29.60434246949427
26.727999999999998,26.790399999999998,0.06240000000000023,26.727999999999998,5000.0,29.078376882668863
26.816399999999998,26.9152,0.09880000000000067,26.9152,5000.0,29.078376882668863
26.962,26.9984,0.03640000000000043,26.962,5000.0,23.07385614102691
27.019199999999998,27.133599999999998,0.11439999999999984,27.0348,5000.0,26.583776544307455
27.1544,27.2064,0.0519999999999996,27.1856,5000.0,26.583776544307455
27.2428,27.3208,0.0779999999999994,27.2636,5000.0,23.07385614102691
27.3936,27.4196,0.0259999999999998,27.4144,5000.0,23.07385614102691
27.461199999999998,27.487199999999998,0.0259999999999998,27.4716,5000.0,23.07385614102691
27.5548,27.6224,0.06759999999999877,27.5548,5000.0,23.07385614102691
27.6432,27.6588,0.01559999999999917,27.6432,5000.0,1.9362667529525197
27.804399999999998,27.82,0.015600000000002723,27.804399999999998,5000.0,29.078376882668863
28.105999999999998,28.157999999999998,0.0519999999999996,28.105999999999998,5000.0,29.078376882668863
28.1788,28.2048,0.0259999999999998,28.1788,5000.0,23.07385614102691
28.2308,28.2932,0.06240000000000023,28.236,5000.0,23.07385614102691
28.4648,28.5012,0.03640000000000043,28.47,5000.0,29.078376882668863
28.537599999999998,28.5584,0.020800000000001262,28.5584,5000.0,23.07385614102691
28.688399999999998,28.73,0.041600000000002524,28.714399999999998,5000.0,29.078376882668863
28.808,28.828799999999998,0.02079999999999771,28.8132,5000.0,23.07385614102691
28.86,28.917199999999998,0.05719999999999814,28.891199999999998,5000.0,6.004520741641954
28.938,28.9588,0.020800000000001262,28.9432,5000.0,6.013441351139761
28.979599999999998,29.0108,0.031200000000001893,29.0108,5000.0,6.004520741641954
29.1096,29.1408,0.03119999999999834,29.1356,5000.0,12.021091543046794
29.182399999999998,29.2032,0.020800000000001262,29.182399999999998,5000.0,11.961392747209914
29.244799999999998,29.2656,0.020800000000001262,29.2656,5000.0,29.078376882668863
29.3488,29.3696,0.02079999999999771,29.359199999999998,5000.0,29.078376882668863
29.3904,29.4684,0.0779999999999994,29.4632,5000.0,11.961392747209914
29.5308,29.5724,0.04159999999999897,29.5464,5000.0,35.0949476840737
29.6348,29.6712,0.03640000000000043,29.6712,5000.0,11.961392747209914
29.692,29.718,0.0259999999999998,29.7076,5000.0,7.174766279111566
29.775199999999998,29.8064,0.031200000000001893,29.775199999999998,5000.0,17.977963548614753
29.8376,29.863599999999998,0.0259999999999998,29.8376,5000.0,10.05366520159015
29.9312,29.9624,0.03119999999999834,29.951999999999998,5000.0,13.095486669344496
29.9988,30.056,0.057200000000001694,29.9988,5000.0,13.721718137216328
30.0976,30.1652,0.06759999999999877,30.1288,5000.0,15.914160237892872
30.238,30.269199999999998,0.03119999999999834,30.238,5000.0,10.05366520159015
