sample_id,v_hf_frac_1k,v_spec_kurt,v_crest,v_transient_rate_2k,i_hf_frac_1k,i_spec_kurt,i_crest,i_transient_rate_2k
30,0.0030049625573651258,247.44972366557383,1.5533768523345821,0.0,0.0011125559939482096,248.20290543650074,1.4859689609039493,0.0
31,0.002713135834559414,247.0541585777598,1.5905704726027547,0.0,0.001103762281048706,248.3015442752768,1.4963697434186016,0.0
32,0.0026780511821343504,247.58088801490368,1.5581195331160222,0.0,0.0011440063393873938,248.18754569594427,1.5145643605506287,0.0
33,0.002610623284956659,246.87255987239152,1.507458842624248,0.0,0.0011522293256823624,248.0484185953262,1.5004751851261826,0.0
34,0.002673329990716357,247.12339768342864,1.563691360312173,0.0,0.0012138617599548897,247.59549341621474,1.4999087581943726,0.0
35,0.0027857481376939624,247.36491919144925,1.5370464380240874,0.0,0.0012076441704648036,248.44641349504067,1.5244560678133263,0.0
36,0.0025580496866896003,247.40614489496176,1.55831442299702,0.0,0.001095602757399361,247.62409801111465,1.5030966032779909,0.0
37,0.0023509105719392532,247.12116411949495,1.524618423974815,0.0,0.0011292044391719607,247.9478461052868,1.4972263945171744,0.0
38,0.0026246803547367303,246.79762564128387,1.5336237024613382,0.0,0.001089037429989097,248.0691591716251,1.4781689802814866,0.0
39,0.0026421177811374336,247.1466360557328,1.5561334160907383,0.0,0.001189923167281154,247.99746969102128,1.4946154669660412,0.0
40,0.002760731146748171,247.2891258103167,1.5667039534508616,0.0,0.0011671511653890943,248.07572655170262,1.4884281398957684,0.0
41,0.0025044425093462795,247.39768391103695,1.5493142081257198,0.0,0.0011699881945574832,248.20244432293978,1.4970869415092423,0.0
42,0.00281286109001451,247.62902804667152,1.5658609901572536,0.0,0.0011649620382885154,248.17876023386322,1.518542491462581,0.0
43,0.0026214014032309536,246.19260786602,1.6218157863589848,0.0,0.0011552663260940169,248.0896819252121,1.5127950561604437,0.0
44,0.0029391790200280947,247.569365789585,1.5589242355455988,0.0,0.001181948819534049,247.91263982489494,1.5056484887909622,0.0
45,0.002692026819658566,246.25784271681798,1.5441286451247673,0.0,0.001115058793608899,247.9666220159804,1.4964650719024988,0.0
46,0.002777655720608743,246.20006676574246,1.5325637209645329,0.0,0.0012747057445203476,247.90599788271402,1.5070658474913656,0.0
47,0.0028429653533400567,246.90498121418437,1.6305319921267416,0.0,0.0011045187275256067,247.91049286197062,1.5026709125715587,0.09523809523809523
48,0.00267992193091897,247.3860472365761,1.5562288827791864,0.0,0.0011682349407998564,248.25774126951958,1.5189268116507972,0.0
49,0.0028546202477410096,247.1419354787409,1.6092890579810892,0.0,0.0011941332941476598,247.85134323272698,1.4980111275514902,0.0
50,0.002834389432963278,247.41702086034158,1.5388510437874425,0.0,0.001114745455319349,247.56594030647457,1.507338492252686,0.0
51,0.0029543537188011777,246.93888315577405,1.5802879236983387,0.0,0.0012108092361960542,247.88941300652291,1.5176291976979723,0.0
52,0.002655662334103724,247.15956135624265,1.5498628736091942,0.0,0.0011413671295558792,248.0981364525609,1.4880686705376083,0.0
53,0.0027904237457147645,247.30087457290256,1.5566498494830834,0.0,0.001148834118781378,247.87959731418164,1.5001677151282984,0.0
54,0.002743018431038434,247.3858145949734,1.544758032001951,0.0,0.0011276531710499695,248.29083957177284,1.507920383989714,0.0
55,0.002673047741237875,247.15405945106377,1.5515878104180976,0.0,0.0011618246358526252,247.53555441993814,1.502943915818379,0.0
56,0.00261984343853524,247.69481625627483,1.548579969962543,0.0,0.0011859415433363798,248.25618968424118,1.4759519895647777,0.0
57,0.0027368957660442003,247.03566673319264,1.528566025787385,0.0,0.0011583481108658389,248.06599915633208,1.5234568980505723,0.0
58,0.002541132278473916,247.71295080732816,1.52084094800035,0.09523809523809523,0.0011337036938424915,248.284854019292,1.5047165328175687,0.0
59,0.0026494397696200924,247.51704493194245,1.5319634343556083,0.0,0.0011236425517085222,248.09407809041684,1.4828687054905128,0.0
60,0.0026940510622327335,247.01606197511637,1.5102741265751658,0.0,0.001120586369402596,248.32650069246824,1.4998111387972086,0.0
61,0.0026694528335641688,246.92989719051454,1.584648463184794,0.0,0.0011569425021280887,248.2411549137386,1.5283024856684582,0.0
62,0.002831164887655676,247.06263564223158,1.5354185032017251,0.0,0.0011190548161569573,248.01732082233949,1.5118765875605746,0.0
63,0.0027971504062895072,247.0158971375662,1.5422417738575411,0.0,0.0011782772739488596,247.87147848886627,1.487011850323336,0.0
64,0.0028798924027396127,247.63462906911778,1.5648454470468425,0.0,0.001141499311502134,248.344705153365,1.5020560641160128,0.0
65,0.002790763508966255,247.12252848040325,1.5509218856397344,0.0,0.0011580439086950646,248.13083264825465,1.4986714116974127,0.0
66,0.002512485864759977,247.2925694070574,1.5487617091944466,0.0,0.00118312086733151,247.76169766327462,1.507711857590967,0.0
67,0.0026309895982040673,247.21359761804231,1.5648791268113869,0.0,0.0011456265626930966,248.06697909546378,1.483071396157906,0.0
68,0.002932446373585293,246.3490600205922,1.597231708310205,0.0,0.0011918493804040906,247.65237682447193,1.4761395765537249,0.0
69,0.0028038361552805446,247.5491006597734,1.530860958234401,0.0,0.001108189947513175,247.76041615091629,1.496427944672592,0.0
70,0.0027664638726548362,247.218466846707,1.5244546854362289,0.0,0.0012059259956718762,248.18964240843223,1.4761025352243382,0.0
71,0.002657669905618519,246.93093218391098,1.5464531985439143,0.0,0.001065523726473708,248.53086058671866,1.4895527076778405,0.0
72,0.00283888065584671,246.8281529434551,1.515594925655041,0.0,0.0011471892989466336,248.2635875106054,1.5209601700220305,0.0
73,0.002997788277850878,246.86171348744818,1.5118491684751432,0.0,0.0011485470736229094,247.95487892752132,1.505935950021943,0.0
74,0.0026106807174162633,247.2824475479896,1.5352138627043095,0.0,0.0011755351346526264,248.2328737460202,1.5206581062359519,0.0
75,0.0026123047303981736,246.80618572502834,1.542470537599943,0.0,0.001092573508375864,247.62698440178016,1.5274116808656002,0.0
76,0.0026014643415518375,247.35126083934395,1.533851125798112,0.0,0.0011452676165087969,248.29913614456123,1.4973548666770946,0.0
77,0.0027363756673217236,247.35674664664825,1.5533252626466905,0.09523809523809523,0.0011742053108565898,248.33227523655685,1.5031626091523034,0.0
78,0.0025478355520500836,247.03122748521716,1.6111993776859286,0.0,0.0011473017144469585,248.12661587006616,1.495002271712895,0.0
79,0.002874912188672736,246.91260925812023,1.5806152274437881,0.0,0.0011737777129152717,248.51734739996152,1.5045721741827105,0.0
80,0.0027536032468726225,246.8039995302222,1.5430066404530618,0.0,0.0011104752248521,248.1332866778192,1.4988991789045234,0.0
81,0.0025745005035820055,247.27480246261248,1.5441434799560132,0.0,0.0011621156154801194,248.07342589437744,1.5046415981697934,0.0
82,0.00268911559365967,247.22358535821283,1.5494768375821193,0.0,0.0011235433848712322,247.77758172700038,1.497451194149255,0.0
83,0.0025059059066607423,247.35689716941317,1.556038464393353,0.0,0.0011829410830807288,248.10494228930588,1.5312848103328283,0.0
84,0.0026072396279662423,247.29726470108596,1.52507761568561,0.0,0.0012304189617297061,248.31811359616307,1.4993128859058242,0.0
85,0.0024642615328339073,247.199522937266,1.5202849051086735,0.0,0.0011708040457544563,248.1398679203987,1.4750938106852158,0.0
86,0.002822371163426153,246.70831505723427,1.5625436588912183,0.0,0.0011184698354024386,248.47356259804772,1.494837354006899,0.0
87,0.0026006957892986903,247.05182732429236,1.594670201741139,0.0,0.0011815687009159288,247.8600940406579,1.505191186013581,0.0
88,0.0028042664994070445,246.98323754084282,1.553076669430489,0.0,0.0011937328740104776,247.85670157217967,1.5074015109643721,0.0
89,0.002675182984020827,247.33544031305075,1.6118887469734948,0.0,0.001132927215186437,247.8982731589876,1.5083533026640308,0.0
90,0.0026320591339618065,247.27143892547105,1.5239117941403992,0.0,0.0011528716097606118,248.30841812023215,1.53003088800548,0.0
91,0.002717272058790683,246.37443468151156,1.5424139753622308,0.0,0.0011326832137871041,247.9713256726346,1.4999542216551967,0.0
92,0.002736454286953178,246.98635484110105,1.558779109334309,0.0,0.0012365427427483136,247.96891066222318,1.523203453331236,0.0
93,0.0027550861060736966,248.00569157359448,1.5548920911799196,0.0,0.0012349950308284884,247.59970834747517,1.4916343609996554,0.0
94,0.002362688807642442,247.1686530640971,1.5561852899620368,0.0,0.00117457412913969,247.71744312890695,1.506591983347823,0.0
95,0.002726191910683121,247.15562756119735,1.5548374010046782,0.0,0.0011792316201437764,248.33797035949956,1.500083229885798,0.0
96,0.0025501759060534705,246.6375669945186,1.5363459206320274,0.0,0.0012245962607126174,248.32131124592675,1.5105408617334817,0.0
97,0.002601599095034761,246.78121874947593,1.5306238573254574,0.0,0.001094264753774734,247.85971577682696,1.5118379275912792,0.0
98,0.0027900515138092425,246.57221566279313,1.571629151304098,0.0,0.0012035863846240557,247.7008869177595,1.4872681081626835,0.0
99,0.0027448978020328295,246.5009852264129,1.5738298611428811,0.0,0.0011265374225020415,247.922969956765,1.4857603912026132,0.0
